ID_REF	Description	GSM41346	GSM41347	GSM41348	GSM41349	GSM41350	GSM41351	GSM41352	GSM41353	GSM41354	GSM41355	GSM41356	GSM41357
201491_at	NA	2131.6	3636.3	2358.1	1627.4	3345.5	2166.6	1296.4	1933.9	1650.6	1339.7	2459.4	2095.8
201492_s_at	NA	17696.8	23553.2	19764.5	12003.6	22262.4	27337.3	15516.5	21403.4	17319.7	14965.5	20352	19139.7
201493_s_at	NA	1202.7	764.7	677.7	1443.7	1238.2	1025	1353.6	1271	1083.4	1440.6	1083.3	991
201494_at	NA	1999.3	3108.1	2609	1450.7	1939.4	1522.6	1517.3	1953.8	1575.6	1759.1	1828.7	1903.1
201495_x_at	NA	11.2	8.8	4.6	5	6.5	38.5	14	8.9	43.4	11.1	5	3.6
201496_x_at	NA	11.8	22.8	9.3	40.7	60	23.5	76.1	55	10.1	15.2	4.4	14.7
201497_x_at	NA	14.6	20	18.2	19.2	24	20.7	30.3	14.4	24.7	26.3	33.4	16.4
201498_at	NA	475.7	487.1	384.9	548.5	549.1	296.4	460.2	631.8	366.3	476.4	472.4	434.8
201499_s_at	NA	1420.4	1381.9	1755.1	1504.9	1599.9	1372.9	1510.4	1751	1985.6	1372.6	1613.8	2101.7
201500_s_at	NA	3346.3	4074.3	3977.8	2678.3	3156.7	3056.7	2648	2998.1	3434.8	3005	3176.7	3097.1
201501_s_at	NA	717.2	720.8	577.9	883.7	870	559.2	643.4	847.9	628.6	694.8	979.7	618.6
201502_s_at	NA	4151.8	3577.3	4397.2	2733.3	2702.5	2024.9	2723.3	2156.9	2574.6	2595.5	2576.4	2926
201503_at	NA	1796.4	2089.2	1480.1	2052.9	2071.7	1420.9	1679.4	1906	1611.9	1827.2	2127.3	1638
201504_s_at	NA	454.1	306.5	702.8	569.1	290.5	522	300.6	167.2	648.8	383.8	296.4	609.8
201505_at	NA	341.6	316.7	361.1	510.6	411.6	315.2	273.6	481.1	492.5	334.9	424.5	388.2
201506_at	NA	1766	505.2	1098.6	2711.1	1032.2	2005.8	2604.8	1007.7	1928.2	2848.9	1090.2	1988.3
201507_at	NA	965.8	928.3	988.3	808.2	752.4	995.5	457.4	708.1	851.1	949.4	983.4	1102
201508_at	NA	11915.8	9149.4	12185.8	7179.9	3462.8	4744.1	8824.2	3210.4	4872.5	8419.9	3005.2	4618.8
201509_at	NA	379.2	404	341.7	465.3	393	412.1	546.1	373.8	396.1	584.4	346.9	384.4
201510_at	NA	196.3	123.9	158.8	125.2	99.3	94.1	104.5	110.7	60.2	99.4	63.5	73.5
201511_at	NA	501.8	576.7	501.6	473.4	649.4	742.9	518.6	437.6	510.8	544.6	435.9	632.9
201512_s_at	NA	697.6	833	881.2	879.3	937.4	998.8	711.2	890.5	1070.6	726.9	929.1	986.4
201513_at	NA	88.1	121.6	97.8	138.6	176.8	133.4	107.7	223.4	96.1	151.9	161.3	95
201514_s_at	NA	794.3	919.8	520.9	937.5	1060.8	940.5	1626.1	952	654.9	1910.1	966	883
201515_s_at	NA	1194.9	1289	1409.3	1354.4	1503.7	1406.5	1280.7	1704.4	1472.9	1220.6	1852.7	1580.2
201516_at	NA	1948.3	1922.8	1955	2426.8	3010.9	4327.4	2650	2844.5	3358.2	2290.8	3005.1	3731
201517_at	NA	787	854.6	903.7	1149.6	1024.2	676.3	908.4	1028.6	1295.2	1018.7	1034.7	932.9
201518_at	NA	1381.5	1734.3	1386.4	1428.3	1579.1	1266.2	1281.3	1384.4	1193.3	1476.9	1536.4	1141
201519_at	NA	1540.9	2010.6	1512.4	1428.7	1864	1874.1	1505.7	1723.5	2417.7	1553.8	1644.4	1952.2
